path,top,left_top,left_middle,left_bot,right_top,right_middle,right_bot
/cones/cone_2643.jpg,0.6337890625#0.0234375,0.462890625#0.314453125,0.37109375#0.591796875,0.3076171875#0.841796875,0.740234375#0.3134765625,0.7685546875#0.5869140625,0.830078125#0.865234375
/cones/cone_7855.jpg,0.591796875#0.0576171875,0.419921875#0.3251953125,0.318359375#0.6201171875,0.20703125#0.849609375,0.71875#0.326171875,0.7587890625#0.611328125,0.7880859375#0.888671875
/cones/cone_8600.jpg,0.40234375#0.0,0.251953125#0.3369140625,0.1943359375#0.6201171875,0.1376953125#0.8916015625,0.6005859375#0.32421875,0.68359375#0.607421875,0.7822265625#0.8662109375
/cones/cone_3758.jpg,0.6025390625#0.0,0.416015625#0.298828125,0.3095703125#0.5791015625,0.2099609375#0.8544921875,0.720703125#0.2939453125,0.7646484375#0.5986328125,0.8037109375#0.8876953125
/cones/cone_11434.jpg,0.59375#0.064453125,0.439453125#0.3359375,0.302734375#0.59765625,0.1953125#0.8623046875,0.7080078125#0.357421875,0.7646484375#0.638671875,0.7958984375#0.9169921875
/cones/cone_16925.jpg,0.744140625#0.34375,0.611328125#0.546875,0.5439453125#0.6865234375,0.4287109375#0.8544921875,0.8408203125#0.5546875,0.8330078125#0.705078125,0.8583984375#0.892578125
/cones/cone_18469.jpg,0.5361328125#0.001953125,0.3427734375#0.2626953125,0.2353515625#0.5810546875,0.1630859375#0.828125,0.6845703125#0.2626953125,0.716796875#0.5947265625,0.7509765625#0.8857421875
/cones/cone_4992.jpg,0.6044921875#0.0576171875,0.4287109375#0.3203125,0.333984375#0.6044921875,0.2255859375#0.8505859375,0.720703125#0.3330078125,0.7353515625#0.630859375,0.80078125#0.8896484375
/cones/cone_13843.jpg,0.552734375#0.08203125,0.37109375#0.349609375,0.2255859375#0.6201171875,0.1484375#0.849609375,0.67578125#0.3486328125,0.6982421875#0.6396484375,0.7421875#0.8876953125
/cones/cone_9021.jpg,0.6015625#0.021484375,0.4404296875#0.2978515625,0.34375#0.564453125,0.2685546875#0.8134765625,0.720703125#0.31640625,0.7607421875#0.6103515625,0.7763671875#0.83203125
/cones/cone_1506.jpg,0.6025390625#0.025390625,0.4365234375#0.310546875,0.3154296875#0.5927734375,0.2587890625#0.8369140625,0.6982421875#0.306640625,0.7060546875#0.6240234375,0.7255859375#0.8916015625
/cones/cone_172.jpg,0.677734375#0.17578125,0.4697265625#0.388671875,0.3623046875#0.57421875,0.208984375#0.8212890625,0.7529296875#0.4248046875,0.7373046875#0.6494140625,0.7236328125#0.8818359375
/cones/cone_11988.jpg,0.3994140625#0.021484375,0.244140625#0.33203125,0.19140625#0.6220703125,0.140625#0.91015625,0.5986328125#0.3173828125,0.6796875#0.6025390625,0.7568359375#0.8271484375
/cones/cone_859.jpg,0.6005859375#0.0712890625,0.4033203125#0.3388671875,0.318359375#0.603515625,0.19921875#0.876953125,0.7021484375#0.3427734375,0.73828125#0.6259765625,0.7763671875#0.9052734375
/cones/cone_10679.jpg,0.3974609375#0.0009765625,0.25#0.3291015625,0.1884765625#0.619140625,0.142578125#0.8955078125,0.60546875#0.3134765625,0.6865234375#0.595703125,0.759765625#0.8369140625
/cones/cone_15276.jpg,0.60546875#0.0615234375,0.4443359375#0.33203125,0.359375#0.6123046875,0.279296875#0.8564453125,0.71484375#0.3291015625,0.7509765625#0.6162109375,0.802734375#0.8935546875
/cones/cone_13328.jpg,0.583984375#0.072265625,0.3984375#0.3349609375,0.30078125#0.6279296875,0.201171875#0.8974609375,0.6982421875#0.3388671875,0.7158203125#0.638671875,0.7607421875#0.9384765625
/cones/cone_13866.jpg,0.4033203125#0.009765625,0.2568359375#0.3232421875,0.1982421875#0.6220703125,0.138671875#0.9013671875,0.6015625#0.3076171875,0.6904296875#0.59375,0.7744140625#0.8671875
/cones/cone_5836.jpg,0.6123046875#0.0439453125,0.435546875#0.3203125,0.3466796875#0.607421875,0.24609375#0.84765625,0.7353515625#0.326171875,0.78515625#0.6240234375,0.802734375#0.8701171875
/cones/cone_9732.jpg,0.599609375#0.099609375,0.4208984375#0.33984375,0.32421875#0.6171875,0.2255859375#0.8623046875,0.7470703125#0.3486328125,0.7470703125#0.646484375,0.78125#0.9130859375
/cones/cone_342.jpg,0.40625#0.0185546875,0.25390625#0.3359375,0.1884765625#0.6171875,0.1455078125#0.88671875,0.6015625#0.3125,0.6806640625#0.591796875,0.7783203125#0.845703125
/cones/cone_5585.jpg,0.62890625#0.0673828125,0.4423828125#0.3251953125,0.314453125#0.59765625,0.2197265625#0.8759765625,0.7197265625#0.328125,0.759765625#0.638671875,0.81640625#0.900390625
/cones/cone_5839.jpg,0.58984375#0.025390625,0.4033203125#0.31640625,0.28515625#0.615234375,0.185546875#0.8701171875,0.7216796875#0.328125,0.7509765625#0.6279296875,0.7861328125#0.921875
/cones/cone_5399.jpg,0.6240234375#0.076171875,0.4736328125#0.326171875,0.3623046875#0.6181640625,0.244140625#0.865234375,0.73046875#0.3369140625,0.7509765625#0.6044921875,0.7861328125#0.9248046875
/cones/cone_13380.jpg,0.408203125#0.0830078125,0.2431640625#0.3798828125,0.1904296875#0.658203125,0.130859375#0.93359375,0.6005859375#0.3681640625,0.677734375#0.638671875,0.791015625#0.904296875
/cones/cone_3883.jpg,0.556640625#0.5087890625,0.447265625#0.63671875,0.3642578125#0.7294921875,0.2646484375#0.8349609375,0.6455078125#0.6455078125,0.6376953125#0.75,0.6416015625#0.87890625
/cones/cone_14282.jpg,0.421875#0.0498046875,0.2822265625#0.427734375,0.232421875#0.7763671875,0.21484375#0.9736328125,0.6806640625#0.3740234375,0.79296875#0.7109375,0.892578125#0.9462890625
/cones/cone_12784.jpg,0.4013671875#0.005859375,0.2509765625#0.326171875,0.185546875#0.6279296875,0.138671875#0.896484375,0.603515625#0.3134765625,0.6962890625#0.6181640625,0.7900390625#0.9228515625
/cones/cone_6244.jpg,0.6474609375#0.0068359375,0.4296875#0.3134765625,0.3115234375#0.630859375,0.212890625#0.9267578125,0.76953125#0.34375,0.7978515625#0.6552734375,0.8291015625#0.94921875
/cones/cone_2732.jpg,0.412109375#0.0087890625,0.2548828125#0.322265625,0.193359375#0.626953125,0.1396484375#0.916015625,0.59765625#0.302734375,0.6826171875#0.603515625,0.767578125#0.87890625
/cones/cone_2705.jpg,0.7529296875#0.0849609375,0.509765625#0.3623046875,0.3671875#0.6796875,0.2333984375#0.9189453125,0.8505859375#0.3857421875,0.89453125#0.677734375,0.9326171875#0.9814453125
/cones/cone_17912.jpg,0.6171875#0.03515625,0.46484375#0.28515625,0.3642578125#0.583984375,0.298828125#0.8056640625,0.7373046875#0.2822265625,0.7607421875#0.5859375,0.80859375#0.8916015625
/cones/cone_13545.jpg,0.57421875#0.068359375,0.404296875#0.3349609375,0.3095703125#0.6142578125,0.2373046875#0.8974609375,0.6875#0.3291015625,0.7275390625#0.6376953125,0.76953125#0.9189453125
/cones/cone_13890.jpg,0.556640625#0.076171875,0.4033203125#0.31640625,0.2626953125#0.6884765625,0.1884765625#0.931640625,0.703125#0.32421875,0.7587890625#0.7109375,0.806640625#0.958984375
/cones/cone_12280.jpg,0.6279296875#0.0439453125,0.439453125#0.2998046875,0.349609375#0.57421875,0.2685546875#0.8447265625,0.744140625#0.3115234375,0.7744140625#0.5986328125,0.806640625#0.88671875
/cones/cone_17279.jpg,0.3974609375#0.0078125,0.2548828125#0.3310546875,0.1962890625#0.6220703125,0.1337890625#0.916015625,0.59765625#0.3095703125,0.6865234375#0.5859375,0.76953125#0.8779296875
/cones/cone_18391.jpg,0.4560546875#0.001953125,0.30078125#0.271484375,0.26171875#0.5634765625,0.201171875#0.880859375,0.6259765625#0.236328125,0.703125#0.5478515625,0.78515625#0.83203125
/cones/cone_11639.jpg,0.62890625#0.0302734375,0.4482421875#0.3154296875,0.34765625#0.5703125,0.2470703125#0.8564453125,0.716796875#0.3212890625,0.7734375#0.59765625,0.7978515625#0.8740234375
/cones/cone_18721.jpg,0.6201171875#0.0546875,0.4619140625#0.318359375,0.37890625#0.57421875,0.3076171875#0.853515625,0.7265625#0.3203125,0.7646484375#0.6142578125,0.8017578125#0.8671875
/cones/cone_8332.jpg,0.6162109375#0.060546875,0.4365234375#0.3046875,0.34375#0.578125,0.263671875#0.857421875,0.736328125#0.3173828125,0.763671875#0.59375,0.7666015625#0.8544921875
/cones/cone_5730.jpg,0.6396484375#0.01953125,0.408203125#0.3095703125,0.3056640625#0.6328125,0.19921875#0.9443359375,0.7451171875#0.34765625,0.7841796875#0.6630859375,0.8427734375#0.9794921875
/cones/cone_18822.jpg,0.564453125#0.509765625,0.4794921875#0.623046875,0.404296875#0.73828125,0.3505859375#0.8369140625,0.6240234375#0.63671875,0.6279296875#0.765625,0.640625#0.8935546875
/cones/cone_3307.jpg,0.6015625#0.0419921875,0.4453125#0.2861328125,0.3359375#0.58203125,0.2080078125#0.86328125,0.708984375#0.294921875,0.7451171875#0.6015625,0.7861328125#0.935546875
/cones/cone_13248.jpg,0.5908203125#0.0380859375,0.4189453125#0.3046875,0.318359375#0.564453125,0.25390625#0.8291015625,0.703125#0.3193359375,0.7392578125#0.6083984375,0.7666015625#0.845703125
/cones/cone_2408.jpg,0.5576171875#0.04296875,0.376953125#0.30078125,0.30078125#0.5498046875,0.22265625#0.783203125,0.66015625#0.3173828125,0.67578125#0.564453125,0.736328125#0.810546875
/cones/cone_9249.jpg,0.607421875#0.0576171875,0.4326171875#0.34375,0.3203125#0.583984375,0.2119140625#0.8525390625,0.71875#0.3486328125,0.75#0.646484375,0.7841796875#0.8759765625
/cones/cone_16610.jpg,0.58203125#0.0546875,0.390625#0.3330078125,0.306640625#0.603515625,0.248046875#0.859375,0.6865234375#0.34765625,0.712890625#0.6181640625,0.7685546875#0.8974609375
/cones/cone_9784.jpg,0.40625#0.0087890625,0.248046875#0.3251953125,0.2021484375#0.6279296875,0.1494140625#0.90234375,0.5869140625#0.3134765625,0.6826171875#0.5986328125,0.76953125#0.8408203125
/cones/cone_11261.jpg,0.5888671875#0.0859375,0.4501953125#0.3232421875,0.328125#0.619140625,0.1943359375#0.875,0.71875#0.333984375,0.7431640625#0.6181640625,0.7802734375#0.892578125
/cones/cone_15249.jpg,0.6181640625#0.11328125,0.4130859375#0.369140625,0.2548828125#0.6181640625,0.1708984375#0.8408203125,0.7939453125#0.35546875,0.7724609375#0.6171875,0.79296875#0.89453125
/cones/cone_2001.jpg,0.673828125#0.0478515625,0.46875#0.330078125,0.3662109375#0.595703125,0.232421875#0.84375,0.7783203125#0.3447265625,0.7939453125#0.6171875,0.8173828125#0.8857421875
/cones/cone_11305.jpg,0.59765625#0.0458984375,0.4208984375#0.337890625,0.3359375#0.6162109375,0.23828125#0.8603515625,0.724609375#0.3271484375,0.7529296875#0.640625,0.8134765625#0.9091796875
/cones/cone_5799.jpg,0.630859375#0.0048828125,0.4228515625#0.3125,0.3115234375#0.6318359375,0.201171875#0.92578125,0.76171875#0.333984375,0.8037109375#0.6669921875,0.8359375#0.9580078125
/cones/cone_3314.jpg,0.6572265625#0.0673828125,0.4658203125#0.322265625,0.3662109375#0.5712890625,0.2607421875#0.8447265625,0.74609375#0.3193359375,0.7861328125#0.625,0.845703125#0.923828125
/cones/cone_5296.jpg,0.6796875#0.0595703125,0.494140625#0.31640625,0.390625#0.5908203125,0.2919921875#0.8564453125,0.7900390625#0.3427734375,0.798828125#0.630859375,0.830078125#0.91796875
/cones/cone_6185.jpg,0.6220703125#0.0078125,0.412109375#0.3203125,0.302734375#0.62109375,0.17578125#0.9384765625,0.7373046875#0.3408203125,0.80078125#0.669921875,0.8515625#0.970703125
/cones/cone_12018.jpg,0.611328125#0.0458984375,0.41015625#0.3125,0.275390625#0.6376953125,0.1728515625#0.9150390625,0.7421875#0.3046875,0.79296875#0.6318359375,0.8837890625#0.943359375
/cones/cone_4230.jpg,0.5869140625#0.0810546875,0.4111328125#0.3466796875,0.3310546875#0.626953125,0.2392578125#0.861328125,0.6943359375#0.34375,0.693359375#0.64453125,0.72265625#0.9345703125
/cones/cone_4272.jpg,0.63671875#0.1123046875,0.4296875#0.3603515625,0.3359375#0.6611328125,0.2451171875#0.896484375,0.7431640625#0.369140625,0.78125#0.689453125,0.7978515625#0.951171875
/cones/cone_1349.jpg,0.5888671875#0.021484375,0.4267578125#0.2958984375,0.3310546875#0.5849609375,0.2392578125#0.8779296875,0.7041015625#0.2978515625,0.7490234375#0.609375,0.7646484375#0.8759765625
/cones/cone_4647.jpg,0.5810546875#0.076171875,0.4013671875#0.3408203125,0.287109375#0.6005859375,0.2109375#0.8330078125,0.6884765625#0.359375,0.712890625#0.6376953125,0.7470703125#0.884765625
/cones/cone_11550.jpg,0.626953125#0.037109375,0.443359375#0.3193359375,0.3623046875#0.5810546875,0.2734375#0.828125,0.724609375#0.3076171875,0.74609375#0.6083984375,0.7890625#0.873046875
/cones/cone_6780.jpg,0.6259765625#0.04296875,0.4580078125#0.3154296875,0.3544921875#0.5849609375,0.2568359375#0.826171875,0.7275390625#0.3212890625,0.78125#0.6064453125,0.7919921875#0.8798828125
/cones/cone_9675.jpg,0.6005859375#0.037109375,0.43359375#0.3193359375,0.333984375#0.5732421875,0.2548828125#0.8203125,0.72265625#0.3095703125,0.7734375#0.6044921875,0.7939453125#0.873046875
/cones/cone_17578.jpg,0.6083984375#0.3359375,0.513671875#0.4755859375,0.4208984375#0.6181640625,0.380859375#0.73046875,0.6748046875#0.47265625,0.68359375#0.62109375,0.6826171875#0.7587890625
/cones/cone_5823.jpg,0.828125#0.1484375,0.583984375#0.3642578125,0.4287109375#0.5869140625,0.26953125#0.8046875,0.931640625#0.423828125,0.91796875#0.6357421875,0.919921875#0.9013671875
/cones/cone_6852.jpg,0.625#0.0390625,0.4375#0.3115234375,0.3466796875#0.587890625,0.2705078125#0.84375,0.724609375#0.32421875,0.76171875#0.6171875,0.8076171875#0.8642578125
/cones/cone_1290.jpg,0.4970703125#0.0625,0.3466796875#0.3505859375,0.279296875#0.6015625,0.255859375#0.861328125,0.6572265625#0.3388671875,0.7314453125#0.591796875,0.783203125#0.8291015625
/cones/cone_16455.jpg,0.693359375#0.1357421875,0.48046875#0.376953125,0.3544921875#0.5927734375,0.2451171875#0.8359375,0.7880859375#0.388671875,0.779296875#0.6474609375,0.76953125#0.892578125
/cones/cone_1350.jpg,0.5166015625#0.0283203125,0.369140625#0.3349609375,0.3046875#0.609375,0.2783203125#0.8642578125,0.6669921875#0.3115234375,0.724609375#0.5732421875,0.7939453125#0.853515625
/cones/cone_527.jpg,0.490234375#0.017578125,0.341796875#0.314453125,0.259765625#0.59375,0.23046875#0.82421875,0.6376953125#0.30859375,0.693359375#0.58203125,0.7548828125#0.8232421875
/cones/cone_262.jpg,0.53125#0.0068359375,0.3779296875#0.25,0.279296875#0.5625,0.2158203125#0.857421875,0.658203125#0.2529296875,0.7021484375#0.5791015625,0.724609375#0.888671875
/cones/cone_5851.jpg,0.6455078125#0.0029296875,0.4248046875#0.2900390625,0.3056640625#0.634765625,0.21484375#0.9306640625,0.771484375#0.318359375,0.80859375#0.6591796875,0.8388671875#0.9814453125
/cones/cone_3829.jpg,0.6474609375#0.15234375,0.517578125#0.3642578125,0.388671875#0.5771484375,0.2578125#0.8154296875,0.744140625#0.3828125,0.7734375#0.6083984375,0.80859375#0.880859375
/cones/cone_13803.jpg,0.58203125#0.041015625,0.4228515625#0.2890625,0.3330078125#0.57421875,0.2451171875#0.845703125,0.6953125#0.310546875,0.71484375#0.5966796875,0.7451171875#0.8603515625
/cones/cone_9501.jpg,0.5888671875#0.03515625,0.3994140625#0.2978515625,0.314453125#0.62890625,0.185546875#0.912109375,0.7333984375#0.2958984375,0.7666015625#0.6337890625,0.8330078125#0.9326171875
/cones/cone_16768.jpg,0.8251953125#0.38671875,0.724609375#0.5537109375,0.634765625#0.7314453125,0.517578125#0.8916015625,0.927734375#0.599609375,0.927734375#0.7568359375,0.923828125#0.955078125
/cones/cone_6250.jpg,0.5947265625#0.033203125,0.4365234375#0.291015625,0.3486328125#0.56640625,0.2412109375#0.830078125,0.7216796875#0.3330078125,0.7724609375#0.59375,0.791015625#0.8701171875
/cones/cone_11721.jpg,0.5947265625#0.0888671875,0.4267578125#0.3115234375,0.314453125#0.59765625,0.23046875#0.82421875,0.70703125#0.326171875,0.7333984375#0.6142578125,0.7607421875#0.8857421875
/cones/cone_14009.jpg,0.595703125#0.138671875,0.376953125#0.416015625,0.2763671875#0.59375,0.177734375#0.8095703125,0.701171875#0.412109375,0.67578125#0.6494140625,0.671875#0.8740234375
/cones/cone_7570.jpg,0.62109375#0.05859375,0.435546875#0.32421875,0.3017578125#0.603515625,0.2099609375#0.859375,0.685546875#0.337890625,0.7568359375#0.6484375,0.80859375#0.927734375
/cones/cone_13452.jpg,0.5791015625#0.0458984375,0.3720703125#0.3173828125,0.2353515625#0.646484375,0.1376953125#0.9345703125,0.728515625#0.3193359375,0.7734375#0.662109375,0.8603515625#0.962890625
/cones/cone_16777.jpg,0.7451171875#0.23828125,0.541015625#0.501953125,0.40625#0.6904296875,0.291015625#0.8720703125,0.8251953125#0.4921875,0.7900390625#0.7109375,0.7646484375#0.9423828125
/cones/cone_7113.jpg,0.6201171875#0.0419921875,0.4404296875#0.3037109375,0.3447265625#0.580078125,0.26953125#0.8310546875,0.7265625#0.3203125,0.7578125#0.6044921875,0.7958984375#0.8828125
